yf_ticker,Ticker
^GSPC,SP500
^NDX,NASDAQ100
^DJI,DOW
MSFT,MSFT
NVDA,NVDA
AAPL,AAPL
AMZN,AMZN
GOOGL,GOOGL
META,META
AVGO,AVGO
TSLA,TSLA
BRK-B,BRK-B
WMT,WMT
JPM,JPM
LLY,LLY
V,V
ORCL,ORCL
NFLX,NFLX
MA,MA
XOM,XOM
COST,COST
PG,PG
JNJ,JNJ
HD,HD
BAC,BAC
PLTR,PLTR
ABBV,ABBV
KO,KO
PM,PM
UNH,UNH
IBM,IBM
CSCO,CSCO
GE,GE
TMUS,TMUS
CRM,CRM
WFC,WFC
CVX,CVX
ABT,ABT
AMD,AMD
MS,MS
LIN,LIN
AXP,AXP
DIS,DIS
INTU,INTU
GS,GS
MCD,MCD
NOW,NOW
MRK,MRK
UBER,UBER
RTX,RTX
ACN,ACN
ISRG,ISRG
TXN,TXN
VZ,VZ
PEP,PEP
BKNG,BKNG
BX,BX
CAT,CAT
QCOM,QCOM
SCHW,SCHW
SPGI,SPGI
ADBE,ADBE
PGR,PGR
BLK,BLK
BSX,BSX
TMO,TMO
C,C
BA,BA
AMGN,AMGN
SYK,SYK
NEE,NEE
AMAT,AMAT
HON,HON
MU,MU
DHR,DHR
GEV,GEV
DE,DE
TJX,TJX
PFE,PFE
UNP,UNP
PANW,PANW
ETN,ETN
GILD,GILD
COF,COF
CMCSA,CMCSA
ADP,ADP
LOW,LOW
LRCX,LRCX
CRWD,CRWD
ANET,ANET
T,T
KLAC,KLAC
ADI,ADI
APH,APH
VRTX,VRTX
CB,CB
KKR,KKR
COP,COP
MDT,MDT
MMC,MMC
LMT,LMT
AMT,AMT
SBUX,SBUX
ICE,ICE
PLD,PLD
CEG,CEG
MO,MO
WELL,WELL
DASH,DASH
SO,SO
INTC,INTC
CME,CME
FI,FI
BMY,BMY
TT,TT
WM,WM
DTE,DTE
HCA,HCA
DUK,DUK
NKE,NKE
MCK,MCK
CTAS,CTAS
EQIX,EQIX
MDLZ,MDLZ
MCO,MCO
COIN,COIN
SHW,SHW
PH,PH
CVS,CVS
UPS,UPS
ELV,ELV
CI,CI
AJG,AJG
ABNB,ABNB
TDG,TDG
DELL,DELL
CDNS,CDNS
MMM,MMM
APO,APO
FTNT,FTNT
RSG,RSG
AON,AON
ORLY,ORLY
RCL,RCL
ECL,ECL
GD,GD
WMB,WMB
SNPS,SNPS
CMG,CMG
MAR,MAR
EMR,EMR
ITW,ITW
PNC,PNC
